distance,colour_rmse,class_a,class_b,cross_class,file_a,file_b
0,0.9594649116391212,RottenApple,RottenApple,False,saltandpepper_Screen Shot 2018-06-08 at 2.51.43 PM.png,Screen Shot 2018-06-08 at 2.51.43 PM.png
0,0.9606516343087124,RottenApple,RottenApple,False,saltandpepper_Screen Shot 2018-06-07 at 2.15.50 PM.png,Screen Shot 2018-06-07 at 2.15.50 PM.png
0,0.9620060962211553,RipeApple,RipeApple,False,saltandpepper_Screen Shot 2018-06-08 at 5.21.22 PM.png,Screen Shot 2018-06-08 at 5.21.22 PM.png
0,0.9638653735524134,RottenApple,RottenApple,False,saltandpepper_Screen Shot 2018-06-08 at 2.48.29 PM.png,Screen Shot 2018-06-08 at 2.48.29 PM.png
0,0.976947840641113,RipeApple,RipeApple,False,saltandpepper_Screen Shot 2018-06-08 at 5.23.51 PM.png,Screen Shot 2018-06-08 at 5.23.51 PM.png
0,0.9849122211310678,RottenApple,RottenApple,False,saltandpepper_Screen Shot 2018-06-07 at 2.19.15 PM.png,Screen Shot 2018-06-07 at 2.19.15 PM.png
0,0.9880470531137,RottenApple,RottenApple,False,saltandpepper_Screen Shot 2018-06-07 at 2.56.16 PM.png,Screen Shot 2018-06-07 at 2.56.16 PM.png
0,0.9942870666127229,RottenApple,RottenApple,False,saltandpepper_Screen Shot 2018-06-07 at 2.19.46 PM.png,Screen Shot 2018-06-07 at 2.19.46 PM.png
0,0.9947780321927768,RottenApple,RottenApple,False,saltandpepper_Screen Shot 2018-06-07 at 3.00.00 PM.png,Screen Shot 2018-06-07 at 3.00.00 PM.png
0,0.999185866509997,RottenApple,RottenApple,False,saltandpepper_Screen Shot 2018-06-08 at 2.34.05 PM.png,Screen Shot 2018-06-08 at 2.34.05 PM.png
0,1.0021136516550073,RipeApple,RipeApple,False,saltandpepper_Screen Shot 2018-06-08 at 5.16.49 PM.png,Screen Shot 2018-06-08 at 5.16.49 PM.png
0,1.0084280258567457,RipeApple,RipeApple,False,saltandpepper_Screen Shot 2018-06-08 at 5.04.05 PM.png,Screen Shot 2018-06-08 at 5.04.05 PM.png
0,1.019823054505045,RipeApple,RipeApple,False,saltandpepper_Screen Shot 2018-06-08 at 4.59.36 PM.png,Screen Shot 2018-06-08 at 4.59.36 PM.png
